"comp","post_bugs","size","complexity","prior_changes","change_churn","prior_bugs","total","minor","major","ownership","entropy","review_rate","review_churn_rate","voters","minor_voters","major_voters","voter_ownership","self_reviews","too_quick","little_discussion","median_revspeed","mean_revspeed","median_discussion","mean_discussion","minor_wrote_no_major_revd","minor_wrote_no_owner_revd","median_voterscore","mean_voterscore","actors","minor_actors","major_actors","actor_ownership","owner_more_author","median_maxexp","mean_maxexp","median_minexp","mean_minexp","subsystem"
"qtactiveqt.examples/activeqt/comapp",0,155,0.116129032828304,4,18,0,2,0,2,0.75,1,1,1,5,0,5,1,1,1,2,71.2453051643192,80.2701823717365,0.00704225352112676,0.00543450187678639,1,1,0,0,9,0,9,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/dotnet/walkthrough",0,83,0.0963855432573668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"qtactiveqt"
"qtactiveqt.examples/activeqt/dotnet/wrapper",0,29,0.103448278953627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"qtactiveqt"
"qtactiveqt.examples/activeqt/dotnet/wrapper/lib",0,72,0.125000001215278,4,108,0,2,0,2,0.75,1,1,1,5,0,5,1,1,1,2,71.2453051643192,80.2701823717365,0.00704225352112676,0.00543450187678639,0,0,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/hierarchy",0,86,0.104651163831801,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,1,1,2,71.2453051643192,80.2701823717365,0.00704225352112676,0.00543450187678639,0,0,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/menus",0,136,0.10294117713019,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,0,1,2,71.2453051643192,80.2701823717365,0.00704225352112676,0.00543450187678639,0,0,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/multiple",0,75,0.106666667857778,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,0,1,2,71.2453051643192,80.2701823717365,0.00704225352112676,0.00543450187678639,0,0,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/opengl",0,199,0.0804020105123608,4,90,0,2,0,2,0.75,1,1,1,5,0,5,1,0,1,2,71.2453051643192,80.2701823717365,0.00704225352112676,0.00543450187678639,0,0,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/qutlook",0,216,0.143518518915038,5,58,1,3,0,3,0.6,1,1,1,6,0,6,1,1,2,3,18.3356807511737,66.0494792307226,0.00704225352112676,0.0543476015014291,1,1,0,0,10,0,10,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/simple",0,70,0.11428571555102,4,18,0,2,0,2,0.75,1,1,1,5,0,5,1,0,1,2,71.2453051643192,80.2701823717365,0.00704225352112676,0.00543450187678639,0,0,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/webbrowser",0,120,0.158333334034722,4,36,0,2,0,2,0.75,1,1,1,5,0,5,1,1,1,2,71.2453051643192,80.2701823717365,0.00704225352112676,0.00543450187678639,0,0,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/wrapper",0,100,0.27000000073,4,18,0,2,0,2,0.75,1,1,1,5,0,5,1,1,1,2,71.2453051643192,80.2701823717365,0.00704225352112676,0.00543450187678639,0,0,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.src/activeqt/container",1,6293,0.218655649146374,38,1709,7,17,9,8,0.184210526315789,0.981582126064185,1,1,20,12,8,1,7,7,8,315.265275049116,3594.63938312397,0.045,0.148547116389671,5,9,0.0526315789473684,0.0675837320574163,31,17,14,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.src/activeqt/control",2,4819,0.224320398439006,27,551,5,16,11,5,0.259259259259259,0.94851264489635,1,1,20,11,9,1,4,4,8,177.629107981221,2342.61955305546,0.0555555555555556,0.172820432266111,10,12,0.037037037037037,0.0625798212005109,33,16,17,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.src/activeqt/doc/snippets",0,325,0.26153846176568,2,883,0,2,0,2,0.5,1,1,1,4,0,4,1,0,1,0,62.4884106473133,62.4884106473133,0.00830355463607297,0.00830355463607297,0,0,0,0,12,0,12,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.src/activeqt/shared",1,1258,0.247217806101175,15,753,4,11,0,11,0.2,0.986735095693132,1,1,13,0,13,1,3,3,4,122.333333333333,3488.49251696618,0.0175438596491228,0.0621578041398424,0,0,0.0333333333333333,0.0458333333333333,26,12,14,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.src/tools/idc",0,264,0.238636363924759,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,1,1,2,71.2453051643192,80.2701823717365,0.00704225352112676,0.00543450187678639,1,1,0,0,9,0,9,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.tools/dumpcpp",0,1360,0.190441176530115,16,847,4,9,0,9,0.1875,1,1,1,10,0,10,1,5,2,5,303.392291178148,12525.4466040532,0.0235326688815061,0.0735590638460333,0,0,0.125,0.108552631578947,13,2,11,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.tools/dumpdoc",0,91,0.186813187706799,4,54,0,2,0,2,0.75,1,1,1,5,0,5,1,1,1,2,71.2453051643192,80.2701823717365,0.00704225352112676,0.00543450187678639,0,0,0,0,10,0,10,1,0,1,1,1,1,"qtactiveqt"
"qtbase.doc/src/snippets/code",1,152,0.0328947374783587,39,24051,0,20,12,8,0.307692307692308,0.989469553962105,1,1,31,23,10,1,2,4,1,1.54234773710715,2.92416740804921,0.000148900055161307,0.000113614717854306,22,26,0,0.0292467948717949,51,35,16,0.96969696969697,0,1,0.977582498226906,0.96969696969697,0.908733960757566,"qtbase"
"qtbase.doc/src/snippets/pointer",0,9,0.222222230864197,4,18,0,2,0,2,0.75,1,1,1,4,0,4,1,2,4,1,1.54234773710715,2.92416740804921,0.000148900055161307,0.000113614717854306,0,0,0,0,8,0,8,1,0,1,1,0.666666666666667,0.666666666666667,"qtbase"
